ActivoA,ActivoB,Algoritmo,Complejidad,Valor
AAPL,MSFT,Distancia Euclidiana,O(n),0,544495
AAPL,MSFT,Correlacion de Pearson,O(n),0,590254
AAPL,MSFT,Dynamic Time Warping (DTW),O(n*m),10,287823
AAPL,MSFT,Similitud por Coseno,O(n),0,590816
AAPL,GOOGL,Distancia Euclidiana,O(n),0,615497
AAPL,GOOGL,Correlacion de Pearson,O(n),0,564274
AAPL,GOOGL,Dynamic Time Warping (DTW),O(n*m),11,948573
AAPL,GOOGL,Similitud por Coseno,O(n),0,565337
AAPL,AMZN,Distancia Euclidiana,O(n),0,690486
AAPL,AMZN,Correlacion de Pearson,O(n),0,540664
AAPL,AMZN,Dynamic Time Warping (DTW),O(n*m),13,251947
AAPL,AMZN,Similitud por Coseno,O(n),0,541199
AAPL,NVDA,Distancia Euclidiana,O(n),0,999504
AAPL,NVDA,Correlacion de Pearson,O(n),0,500915
AAPL,NVDA,Dynamic Time Warping (DTW),O(n*m),19,988469
AAPL,NVDA,Similitud por Coseno,O(n),0,502351
AAPL,META,Distancia Euclidiana,O(n),0,877837
AAPL,META,Correlacion de Pearson,O(n),0,470829
AAPL,META,Dynamic Time Warping (DTW),O(n*m),15,938894
AAPL,META,Similitud por Coseno,O(n),0,471571
AAPL,TSLA,Distancia Euclidiana,O(n),1,151302
AAPL,TSLA,Correlacion de Pearson,O(n),0,482968
AAPL,TSLA,Dynamic Time Warping (DTW),O(n*m),24,147469
AAPL,TSLA,Similitud por Coseno,O(n),0,483620
AAPL,JPM,Distancia Euclidiana,O(n),0,648189
AAPL,JPM,Correlacion de Pearson,O(n),0,377722
AAPL,JPM,Dynamic Time Warping (DTW),O(n*m),11,599462
AAPL,JPM,Similitud por Coseno,O(n),0,378883
AAPL,JNJ,Distancia Euclidiana,O(n),0,667581
AAPL,JNJ,Correlacion de Pearson,O(n),0,152589
AAPL,JNJ,Dynamic Time Warping (DTW),O(n*m),11,013983
AAPL,JNJ,Similitud por Coseno,O(n),0,153595
AAPL,V,Distancia Euclidiana,O(n),0,574937
AAPL,V,Correlacion de Pearson,O(n),0,486940
AAPL,V,Dynamic Time Warping (DTW),O(n*m),10,494415
AAPL,V,Similitud por Coseno,O(n),0,487476
AAPL,PG,Distancia Euclidiana,O(n),0,640836
AAPL,PG,Correlacion de Pearson,O(n),0,250007
AAPL,PG,Dynamic Time Warping (DTW),O(n*m),10,961402
AAPL,PG,Similitud por Coseno,O(n),0,250223
AAPL,UNH,Distancia Euclidiana,O(n),0,880857
AAPL,UNH,Correlacion de Pearson,O(n),0,116388
AAPL,UNH,Dynamic Time Warping (DTW),O(n*m),13,259020
AAPL,UNH,Similitud por Coseno,O(n),0,116542
AAPL,HD,Distancia Euclidiana,O(n),0,614419
AAPL,HD,Correlacion de Pearson,O(n),0,436342
AAPL,HD,Dynamic Time Warping (DTW),O(n*m),11,421374
AAPL,HD,Similitud por Coseno,O(n),0,436107
AAPL,MA,Distancia Euclidiana,O(n),0,574203
AAPL,MA,Correlacion de Pearson,O(n),0,506237
AAPL,MA,Dynamic Time Warping (DTW),O(n*m),10,744390
AAPL,MA,Similitud por Coseno,O(n),0,506660
AAPL,DIS,Distancia Euclidiana,O(n),0,679426
AAPL,DIS,Correlacion de Pearson,O(n),0,423088
AAPL,DIS,Dynamic Time Warping (DTW),O(n*m),11,963753
AAPL,DIS,Similitud por Coseno,O(n),0,421909
AAPL,PYPL,Distancia Euclidiana,O(n),0,875463
AAPL,PYPL,Correlacion de Pearson,O(n),0,427356
AAPL,PYPL,Dynamic Time Warping (DTW),O(n*m),16,019728
AAPL,PYPL,Similitud por Coseno,O(n),0,425175
AAPL,ADBE,Distancia Euclidiana,O(n),0,737783
AAPL,ADBE,Correlacion de Pearson,O(n),0,483027
AAPL,ADBE,Dynamic Time Warping (DTW),O(n*m),13,275527
AAPL,ADBE,Similitud por Coseno,O(n),0,482022
AAPL,NFLX,Distancia Euclidiana,O(n),0,921873
AAPL,NFLX,Correlacion de Pearson,O(n),0,380920
AAPL,NFLX,Dynamic Time Warping (DTW),O(n*m),15,657519
AAPL,NFLX,Similitud por Coseno,O(n),0,381765
AAPL,INTC,Distancia Euclidiana,O(n),1,083513
AAPL,INTC,Correlacion de Pearson,O(n),0,338512
AAPL,INTC,Dynamic Time Warping (DTW),O(n*m),18,643943
AAPL,INTC,Similitud por Coseno,O(n),0,339315
AAPL,CSCO,Distancia Euclidiana,O(n),0,597513
AAPL,CSCO,Correlacion de Pearson,O(n),0,458203
AAPL,CSCO,Dynamic Time Warping (DTW),O(n*m),10,916262
AAPL,CSCO,Similitud por Coseno,O(n),0,459139
MSFT,GOOGL,Distancia Euclidiana,O(n),0,587499
MSFT,GOOGL,Correlacion de Pearson,O(n),0,593578
MSFT,GOOGL,Dynamic Time Warping (DTW),O(n*m),10,732519
MSFT,GOOGL,Similitud por Coseno,O(n),0,594174
MSFT,AMZN,Distancia Euclidiana,O(n),0,622279
MSFT,AMZN,Correlacion de Pearson,O(n),0,627921
MSFT,AMZN,Dynamic Time Warping (DTW),O(n*m),12,400033
MSFT,AMZN,Similitud por Coseno,O(n),0,628277
MSFT,NVDA,Distancia Euclidiana,O(n),0,923119
MSFT,NVDA,Correlacion de Pearson,O(n),0,609082
MSFT,NVDA,Dynamic Time Warping (DTW),O(n*m),19,665279
MSFT,NVDA,Similitud por Coseno,O(n),0,609444
MSFT,META,Distancia Euclidiana,O(n),0,810995
MSFT,META,Correlacion de Pearson,O(n),0,562958
MSFT,META,Dynamic Time Warping (DTW),O(n*m),14,642902
MSFT,META,Similitud por Coseno,O(n),0,563437
MSFT,TSLA,Distancia Euclidiana,O(n),1,198703
MSFT,TSLA,Correlacion de Pearson,O(n),0,412245
MSFT,TSLA,Dynamic Time Warping (DTW),O(n*m),24,381815
MSFT,TSLA,Similitud por Coseno,O(n),0,412838
MSFT,JPM,Distancia Euclidiana,O(n),0,661410
